barcode;name;brand;category;reference;arcor_code;arcor_desc;confidence
7790580315405;CHOCOLATE TAZA AGUILA BARRITA AGUILA 24 X 24 X 14 Gr.;ARCOR;CHOCOLATES;1006408;1006408;CHOCOLATE TAZA AGUILA BARRITA AGUILA 24 X 24 X 14 Gr.;arcor-catalog
7790580005825;CHOCOLATE TAZA AGUILA CHOCOLATE TAZA 6 X 12 X 225 Gr.;ARCOR;CHOCOLATES;1010582;1010582;CHOCOLATE TAZA AGUILA CHOCOLATE TAZA 6 X 12 X 225 Gr.;arcor-catalog
;CHOCOLATE TAZA ARCOR x100g;ARCOR;;14676;;;sin-match
7790580322205;CHOCOLATE TAZA GODET CHOCOLATE TAZA 4 X 15 X 100 Gr.;ARCOR;CHOCOLATES;1003222;1003222;CHOCOLATE TAZA GODET CHOCOLATE TAZA 4 X 15 X 100 Gr.;arcor-catalog
7790580746407;CHOCOLATE TOFI TOFI BLANCO 12 X 25 X 27 Gr.;ARCOR;CHOCOLATES;1007464;1007464;CHOCOLATE TOFI TOFI BLANCO 12 X 25 X 27 Gr.;arcor-catalog
7790580746704;CHOCOLATE TOFI TOFI BLANCO 8 X 15 X 55 Gr.;ARCOR;CHOCOLATES;1007467;1007467;CHOCOLATE TOFI TOFI BLANCO 8 X 15 X 55 Gr.;arcor-catalog
7790580746308;CHOCOLATE TOFI TOFI LECHE 12 X 25 X 28 Gr.;ARCOR;CHOCOLATES;1007463;1007463;CHOCOLATE TOFI TOFI LECHE 12 X 25 X 28 Gr.;arcor-catalog
7790580746605;CHOCOLATE TOFI TOFI LECHE 8 X 15 X 55 Gr.;ARCOR;CHOCOLATES;1007466;1007466;CHOCOLATE TOFI TOFI LECHE 8 X 15 X 55 Gr.;arcor-catalog
;CHOCOLATIN BCO ARCOR 20x8g;ARCOR;;13069;;;sin-match
;CHOCOLATIN LEC. ARCOR 20x8g;ARCOR;;13068;;;sin-match
;CHOCOLINAS BLANCO x170g.;ARCOR;;14885;;;sin-match
;CHOCOLINAS NEGRO x181g.;ARCOR;;14886;;;sin-match
7790580119560;CHOCOLITO AGUILA BCO x150g;ARCOR;CHOCOLATES;11956;1011956;CHOCOLITOS AGUILA CHOCOLITOS BLANCO 24 X 150 Gr.;alta
;CHOCOLITO AGUILA NGRO x150g;ARCOR;;8794;;;sin-match
7790580119560;CHOCOLITOS AGUILA CHOCOLITOS BLANCO 24 X 150 Gr.;ARCOR;CHOCOLATES;1011956;1011956;CHOCOLITOS AGUILA CHOCOLITOS BLANCO 24 X 150 Gr.;arcor-catalog
7790580252809;CHUP.MR. POPS FRUTAL x50 u.;ARCOR;GOLOSINAS;2528;1002528;CHUPETÍN ESFÉRICO ARCOR FRUTAL 12 x 50 Un.;alta
7790580739003;CHUP.TROMPITO x50u.;ARCOR;GOLOSINAS;7390;1007390;CHUPETÍN ESFÉRICO ARCOR TROMPITO 12 x 50 Un.;alta
7790580252809;CHUPETÍN ESFÉRICO ARCOR FRUTAL 12 x 50 Un.;ARCOR;GOLOSINAS;1002528;1002528;CHUPETÍN ESFÉRICO ARCOR FRUTAL 12 x 50 Un.;arcor-catalog
7790580252908;CHUPETÍN ESFÉRICO ARCOR FRUTAL 24 x 10 Un.;ARCOR;GOLOSINAS;1002529;1002529;CHUPETÍN ESFÉRICO ARCOR FRUTAL 24 x 10 Un.;arcor-catalog
7790580739003;CHUPETÍN ESFÉRICO ARCOR TROMPITO 12 x 50 Un.;ARCOR;GOLOSINAS;1007390;1007390;CHUPETÍN ESFÉRICO ARCOR TROMPITO 12 x 50 Un.;arcor-catalog
;COCODRILOS DE POPCORN x145g;ARCOR;;14252;;;sin-match
;CODITOS ARCOR x500g.;ARCOR;;14234;;;sin-match
7790580105990;COFLER 3 PLACERES X 55gr;ARCOR;CHOCOLATES;10770;1010770;COFLER MACIZO TRES PLACERES 12 X 10 X 55 Gr.;alta
;COFLER 50% CACAO x55G;ARCOR;;13134;;;sin-match
;COFLER 60% ALMENDRAS x100g;ARCOR;;14402;;;sin-match
;COFLER 60% CREMOSO x100g;ARCOR;;14175;;;sin-match
;COFLER 60% NARANJA x100g;ARCOR;;14177;;;sin-match
7790580126230;COFLER AGUILA SEMIA. 16 X 63 Gr. (80 Cc.);ARCOR;HELADOS;1012623;1012623;COFLER AGUILA SEMIA. 16 X 63 Gr. (80 Cc.);arcor-catalog
7790580003470;COFLER AIRE ALMENDRA X 100gr;ARCOR;CHOCOLATES;10347;1010347;COFLER AIREADO ALMENDRAS 4 X 12 X 100 Gr.;alta
7790580003432;COFLER AIRE ALMENDRA x55g.;ARCOR;CHOCOLATES;10343;1010343;COFLER AIREADO ALMENDRAS 8 X 10 X 55 Gr.;alta
7790580003425;COFLER AIRE BCO/LECH.x55g.;ARCOR;CHOCOLATES;10342;1010342;COFLER AIREADO MIXTO 8 X 10 X 55 Gr.;alta
7790580003388;COFLER AIRE BLAN/LECHE X 27g;ARCOR;CHOCOLATES;10338;1010338;COFLER AIREADO MIXTO 8 X 20 X 27 Gr.;alta
7790580003371;COFLER AIRE BLANCO  X 27gr;ARCOR;CHOCOLATES;10337;1010337;COFLER AIREADO BLANCO 8 X 20 X 27 Gr.;alta
7790580003456;COFLER AIRE BLANCO X 100gr;ARCOR;CHOCOLATES;10345;1010345;COFLER AIREADO BLANCO 4 X 12 X 100 Gr.;alta
7790580003463;COFLER AIRE BLANCO/LECHE X 100gr;ARCOR;CHOCOLATES;10346;1010346;COFLER AIREADO MIXTO 4 X 12 X 100 Gr.;alta
7790580003418;COFLER AIRE BLANCOx55g.;ARCOR;CHOCOLATES;10341;1010341;COFLER AIREADO BLANCO 8 X 10 X 55 Gr.;alta
7790580127152;COFLER AIRE BON O BON x 30g;ARCOR;CHOCOLATES;12921;1012921;TABLETAS COFLER AIREADO RELLENO BON O BON 8 X 20 X 30 Gr.;alta
7790580115869;COFLER AIRE BONoBONx67g.;ARCOR;CHOCOLATES;11586;1011586;COFLER AIREADO BON O BON 8 X 10 X 67 Gr.;alta
7790580003364;COFLER AIRE LECHE  X 27g;ARCOR;CHOCOLATES;10336;1010336;COFLER AIREADO LECHE 8 X 20 X 27 Gr.;alta
7790580043407;COFLER AIRE LECHE X55gr;ARCOR;CHOCOLATES;10340;1010340;COFLER AIREADO LECHE 8 X 10 X 55 Gr.;alta
7790580003449;COFLER AIRE LECHE x100g.;ARCOR;CHOCOLATES;10344;1010344;COFLER AIREADO LECHE 4 X 12 X 100 Gr.;alta
7790580115845;COFLER AIRE TOFIx70g..;ARCOR;CHOCOLATES;11584;1011584;COFLER AIREADO TOFI 8 X 10 X 70 Gr.;alta
7790580003470;COFLER AIREADO ALMENDRAS 4 X 12 X 100 Gr.;ARCOR;CHOCOLATES;1010347;1010347;COFLER AIREADO ALMENDRAS 4 X 12 X 100 Gr.;arcor-catalog
7790580003432;COFLER AIREADO ALMENDRAS 8 X 10 X 55 Gr.;ARCOR;CHOCOLATES;1010343;1010343;COFLER AIREADO ALMENDRAS 8 X 10 X 55 Gr.;arcor-catalog
7790580003395;COFLER AIREADO ALMENDRAS 8 X 20 X 27 Gr.;ARCOR;CHOCOLATES;1010339;1010339;COFLER AIREADO ALMENDRAS 8 X 20 X 27 Gr.;arcor-catalog
7790580003456;COFLER AIREADO BLANCO 4 X 12 X 100 Gr.;ARCOR;CHOCOLATES;1010345;1010345;COFLER AIREADO BLANCO 4 X 12 X 100 Gr.;arcor-catalog
7790580003418;COFLER AIREADO BLANCO 8 X 10 X 55 Gr.;ARCOR;CHOCOLATES;1010341;1010341;COFLER AIREADO BLANCO 8 X 10 X 55 Gr.;arcor-catalog
7790580003371;COFLER AIREADO BLANCO 8 X 20 X 27 Gr.;ARCOR;CHOCOLATES;1010337;1010337;COFLER AIREADO BLANCO 8 X 20 X 27 Gr.;arcor-catalog
7790580115869;COFLER AIREADO BON O BON 8 X 10 X 67 Gr.;ARCOR;CHOCOLATES;1011586;1011586;COFLER AIREADO BON O BON 8 X 10 X 67 Gr.;arcor-catalog
7790580003449;COFLER AIREADO LECHE 4 X 12 X 100 Gr.;ARCOR;CHOCOLATES;1010344;1010344;COFLER AIREADO LECHE 4 X 12 X 100 Gr.;arcor-catalog
7790580043407;COFLER AIREADO LECHE 8 X 10 X 55 Gr.;ARCOR;CHOCOLATES;1010340;1010340;COFLER AIREADO LECHE 8 X 10 X 55 Gr.;arcor-catalog
7790580003364;COFLER AIREADO LECHE 8 X 20 X 27 Gr.;ARCOR;CHOCOLATES;1010336;1010336;COFLER AIREADO LECHE 8 X 20 X 27 Gr.;arcor-catalog
7790580003463;COFLER AIREADO MIXTO 4 X 12 X 100 Gr.;ARCOR;CHOCOLATES;1010346;1010346;COFLER AIREADO MIXTO 4 X 12 X 100 Gr.;arcor-catalog
7790580003425;COFLER AIREADO MIXTO 8 X 10 X 55 Gr.;ARCOR;CHOCOLATES;1010342;1010342;COFLER AIREADO MIXTO 8 X 10 X 55 Gr.;arcor-catalog
7790580003388;COFLER AIREADO MIXTO 8 X 20 X 27 Gr.;ARCOR;CHOCOLATES;1010338;1010338;COFLER AIREADO MIXTO 8 X 20 X 27 Gr.;arcor-catalog
7790580115845;COFLER AIREADO TOFI 8 X 10 X 70 Gr.;ARCOR;CHOCOLATES;1011584;1011584;COFLER AIREADO TOFI 8 X 10 X 70 Gr.;arcor-catalog
7790580128999;COFLER ALMENDRAS x  140gr;ARCOR;CHOCOLATES;12899;1012899;COFLER MACIZO ALMENDRAS 36 x 140 Gr.;alta
;COFLER AVELLANA x140g.;ARCOR;;14400;;;sin-match
;COFLER BLOCK 16UNx16g;ARCOR;;13056;;;sin-match
7790580123994;COFLER BLOCK ALFA BLOCK 8 X 20 X 40 Gr.;ARCOR;CHOCOLATES;1012399;1012399;COFLER BLOCK ALFA BLOCK 8 X 20 X 40 Gr.;arcor-catalog
;COFLER BLOCK BCO/LECH x170g;ARCOR;;13311;;;sin-match
7790580103743;COFLER BLOCK LECHE CON MANÍ 24 X 300 Gr.;ARCOR;CHOCOLATES;1010374;1010374;COFLER BLOCK LECHE CON MANÍ 24 X 300 Gr.;arcor-catalog
7790580108519;COFLER BLOCK LECHE CON MANÍ 64 X 170 Gr.;ARCOR;CHOCOLATES;1013017;1013017;COFLER BLOCK LECHE CON MANÍ 64 X 170 Gr.;arcor-catalog
7790580115579;COFLER BLOCK LECHE CON MANÍ 8 X 1 Kg.;ARCOR;CHOCOLATES;1011587;1011587;COFLER BLOCK LECHE CON MANÍ 8 X 1 Kg.;arcor-catalog
7790580110031;COFLER BLOCK LECHE CON MANÍ 8 X 12 X 110 Gr.;ARCOR;CHOCOLATES;1011283;1011283;COFLER BLOCK LECHE CON MANÍ 8 X 12 X 110 Gr.;arcor-catalog
7790580531201;COFLER BLOCK LECHE CON MANÍ 8 X 20 X 38 Gr.;ARCOR;CHOCOLATES;1005312;1005312;COFLER BLOCK LECHE CON MANÍ 8 X 20 X 38 Gr.;arcor-catalog
;COFLER BLOCK MANI BLANCO x38g.;ARCOR;;13709;;;sin-match
7790580103743;COFLER BLOCK MANI x300gr;ARCOR;CHOCOLATES;10374;1010374;COFLER BLOCK LECHE CON MANÍ 24 X 300 Gr.;alta
7790580531201;COFLER BLOCK MANIx38g.;ARCOR;CHOCOLATES;5312;1005312;COFLER BLOCK LECHE CON MANÍ 8 X 20 X 38 Gr.;alta
7790580108519;COFLER BLOCK X 170gr;ARCOR;CHOCOLATES;13017;1013017;COFLER BLOCK LECHE CON MANÍ 64 X 170 Gr.;alta
7790580110031;COFLER BLOCK x 110gr;ARCOR;CHOCOLATES;11283;1011283;COFLER BLOCK LECHE CON MANÍ 8 X 12 X 110 Gr.;alta
7790580115579;COFLER BLOCKAZO x1KG.;ARCOR;CHOCOLATES;11587;1011587;COFLER BLOCK LECHE CON MANÍ 8 X 1 Kg.;alta
7790580128982;COFLER CHOCOLINA  BCO x 140gr;ARCOR;CHOCOLATES;12898;1012898;COFLER MACIZO CHOCOLINAS 36 x 140 Gr.;alta
7790580003531;COFLER CHOCOLINA x55g;ARCOR;CHOCOLATES;10353;1010353;COFLER MACIZO CHOCOLINAS 12 X 10 X 55 Gr.;alta
7790580105655;COFLER CHOCOLINAS BLANCO X 100gr;ARCOR;CHOCOLATES;10771;1010771;COFLER MACIZO CHOCOLINAS 4 X 16 X 100 Gr.;alta
;COFLER CUPS MANI 16x17g.;ARCOR;;14473;;;sin-match
;COFLER CUPS SPLIT 16x17g.;ARCOR;;14675;;;sin-match
;COFLER DDL X38G;ARCOR;;13310;;;sin-match
;COFLER ESTILO DUBAI 20x45g;ARCOR;;16650;;;sin-match
7790580120559;COFLER EXTRA BARRA COFLER CHOCOLINAS 6 X 20 X 30 Gr.;ARCOR;CHOCOLATES;1012055;1012055;COFLER EXTRA BARRA COFLER CHOCOLINAS 6 X 20 X 30 Gr.;arcor-catalog
7790580115692;COFLER EXTRA BARRA COFLER EXTRA BON O BON 6 X 20 X 35 Gr.;ARCOR;CHOCOLATES;1011569;1011569;COFLER EXTRA BARRA COFLER EXTRA BON O BON 6 X 20 X 35 Gr.;arcor-catalog
7790580103835;COFLER EXTRA BARRA COFLER EXTRA COCO 6 X 20 X 32 Gr.;ARCOR;CHOCOLATES;1010383;1010383;COFLER EXTRA BARRA COFLER EXTRA COCO 6 X 20 X 32 Gr.;arcor-catalog
7790580955106;COFLER EXTRA BARRA COFLER EXTRA MENTA 6 X 20 X 30 Gr.;ARCOR;CHOCOLATES;1009551;1009551;COFLER EXTRA BARRA COFLER EXTRA MENTA 6 X 20 X 30 Gr.;arcor-catalog
7790580619602;COFLER EXTRA MARROC;ARCOR;CHOCOLATES;1006196;1006196;COFLER EXTRA MARROC;arcor-catalog
7790580124069;COFLER GRAFFITI 45g;ARCOR;CHOCOLATES;12553;1012553;OBLEA COFLER GRAFFITI CLÁSICO 16 X 12 X 45 Gr.;alta
7790580124045;COFLER GRAFFITI BCO x45g;ARCOR;CHOCOLATES;12404;1012404;OBLEA COFLER GRAFFITI BLANCO 16 X 12 X 45 Gr.;alta
7790580043506;COFLER LEC/ALME x55g;ARCOR;CHOCOLATES;10350;1010350;COFLER MACIZO ALMENDRAS 12 X 10 X 55 Gr.;alta
7790580003579;COFLER LECHE X 100gr;ARCOR;CHOCOLATES;10357;1010357;COFLER MACIZO LECHE 4 X 16 X 100 Gr.;alta
7790580128975;COFLER LECHE x 140gr;ARCOR;CHOCOLATES;12897;1012897;COFLER MACIZO LECHE 36 x 140 Gr.;alta
7790580003487;COFLER LECHE x55g;ARCOR;CHOCOLATES;10348;1010348;COFLER MACIZO LECHE 12 X 10 X 55 Gr.;alta
7790580043506;COFLER MACIZO ALMENDRAS 12 X 10 X 55 Gr.;ARCOR;CHOCOLATES;1010350;1010350;COFLER MACIZO ALMENDRAS 12 X 10 X 55 Gr.;arcor-catalog
7790580128999;COFLER MACIZO ALMENDRAS 36 x 140 Gr.;ARCOR;CHOCOLATES;1012899;1012899;COFLER MACIZO ALMENDRAS 36 x 140 Gr.;arcor-catalog
7790580003562;COFLER MACIZO ALMENDRAS 4 X 16 X 100 Gr.;ARCOR;CHOCOLATES;1010356;1010356;COFLER MACIZO ALMENDRAS 4 X 16 X 100 Gr.;arcor-catalog
7790580003531;COFLER MACIZO CHOCOLINAS 12 X 10 X 55 Gr.;ARCOR;CHOCOLATES;1010353;1010353;COFLER MACIZO CHOCOLINAS 12 X 10 X 55 Gr.;arcor-catalog
7790580128982;COFLER MACIZO CHOCOLINAS 36 x 140 Gr.;ARCOR;CHOCOLATES;1012898;1012898;COFLER MACIZO CHOCOLINAS 36 x 140 Gr.;arcor-catalog
7790580105655;COFLER MACIZO CHOCOLINAS 4 X 16 X 100 Gr.;ARCOR;CHOCOLATES;1010771;1010771;COFLER MACIZO CHOCOLINAS 4 X 16 X 100 Gr.;arcor-catalog
7790580123956;COFLER MACIZO CHOCOTITAS 12 X 10 X 64 Gr.;ARCOR;CHOCOLATES;1012395;1012395;COFLER MACIZO CHOCOTITAS 12 X 10 X 64 Gr.;arcor-catalog
7790580003487;COFLER MACIZO LECHE 12 X 10 X 55 Gr.;ARCOR;CHOCOLATES;1010348;1010348;COFLER MACIZO LECHE 12 X 10 X 55 Gr.;arcor-catalog
7790580128975;COFLER MACIZO LECHE 36 x 140 Gr.;ARCOR;CHOCOLATES;1012897;1012897;COFLER MACIZO LECHE 36 x 140 Gr.;arcor-catalog
7790580003579;COFLER MACIZO LECHE 4 X 16 X 100 Gr.;ARCOR;CHOCOLATES;1010357;1010357;COFLER MACIZO LECHE 4 X 16 X 100 Gr.;arcor-catalog
7790580003524;COFLER MACIZO ROCKLETS 12 X 10 X 55 Gr.;ARCOR;CHOCOLATES;1010352;1010352;COFLER MACIZO ROCKLETS 12 X 10 X 55 Gr.;arcor-catalog
7790580003555;COFLER MACIZO ROCKLETS 4 X 16 X 100 Gr.;ARCOR;CHOCOLATES;1010355;1010355;COFLER MACIZO ROCKLETS 4 X 16 X 100 Gr.;arcor-catalog
7790580105990;COFLER MACIZO TRES PLACERES 12 X 10 X 55 Gr.;ARCOR;CHOCOLATES;1010770;1010770;COFLER MACIZO TRES PLACERES 12 X 10 X 55 Gr.;arcor-catalog
7790580123949;COFLER MACIZO YOGURT DE FRUTILLA 12 X 10 X 64 Gr.;ARCOR;CHOCOLATES;1012394;1012394;COFLER MACIZO YOGURT DE FRUTILLA 12 X 10 X 64 Gr.;arcor-catalog
;COFLER RELL AVELLANA x35g;ARCOR;;14608;;;sin-match
7790580123949;COFLER RELL YOGURT FRUT x 64g;ARCOR;CHOCOLATES;12394;1012394;COFLER MACIZO YOGURT DE FRUTILLA 12 X 10 X 64 Gr.;alta
7790580003753;COFLER RELLENOS BLANCO CON DULCE DE LECHE 8 X 20 X 42 Gr.;ARCOR;CHOCOLATES;1010375;1010375;COFLER RELLENOS BLANCO CON DULCE DE LECHE 8 X 20 X 42 Gr.;arcor-catalog
7790580123987;COFLER RELLENOS COCO Y DULCE DE LECHE 8 X 20 X 35 Gr.;ARCOR;CHOCOLATES;1012398;1012398;COFLER RELLENOS COCO Y DULCE DE LECHE 8 X 20 X 35 Gr.;arcor-catalog
7790580255602;COFLER RELLENOS DULCE DE LECHE 8 X 20 X 42 Gr.;ARCOR;CHOCOLATES;1002556;1002556;COFLER RELLENOS DULCE DE LECHE 8 X 20 X 42 Gr.;arcor-catalog
7790580123963;COFLER RELLENOS MOUSSE DE AVELLANAS 8 X 20 X 35 Gr.;ARCOR;CHOCOLATES;1012396;1012396;COFLER RELLENOS MOUSSE DE AVELLANAS 8 X 20 X 35 Gr.;arcor-catalog
7790580123970;COFLER RELLENOS YOGHURT FRUTILLA 8 X 20 X 35 Gr.;ARCOR;CHOCOLATES;1012397;1012397;COFLER RELLENOS YOGHURT FRUTILLA 8 X 20 X 35 Gr.;arcor-catalog
;COFLER ROCKLETS x140g;ARCOR;;14609;;;sin-match
7790580003524;COFLER ROCKLETS x55g;ARCOR;CHOCOLATES;10352;1010352;COFLER MACIZO ROCKLETS 12 X 10 X 55 Gr.;alta
7790580123970;COFLER YOGURT FRUTILLA x 35g;ARCOR;CHOCOLATES;12397;1012397;COFLER RELLENOS YOGHURT FRUTILLA 8 X 20 X 35 Gr.;alta
7790580118426;COLADOS DUROS ARCOR BUTTER N CREAM 6 x 810 Gr.;ARCOR;GOLOSINAS;1011842;1011842;COLADOS DUROS ARCOR BUTTER N CREAM 6 x 810 Gr.;arcor-catalog
7790580128524;COLADOS DUROS ARCOR CHERRY 10 x 800 Gr.;ARCOR;GOLOSINAS;1012852;1012852;COLADOS DUROS ARCOR CHERRY 10 x 800 Gr.;arcor-catalog
7790580118358;COLADOS DUROS ARCOR FRESH CRISTAL 12 x 405 Gr.;ARCOR;GOLOSINAS;1011835;1011835;COLADOS DUROS ARCOR FRESH CRISTAL 12 x 405 Gr.;arcor-catalog
7790580470609;COLADOS DUROS ARCOR MENTA CRISTAL 36 x 150 Gr.;ARCOR;GOLOSINAS;1004706;1004706;COLADOS DUROS ARCOR MENTA CRISTAL 36 x 150 Gr.;arcor-catalog
7790580118341;COLADOS DUROS ARCOR MENTA CRISTAL 6 x 810 Gr.;ARCOR;GOLOSINAS;1011834;1011834;COLADOS DUROS ARCOR MENTA CRISTAL 6 x 810 Gr.;arcor-catalog
7790580102869;COLADOS DUROS ARCOR MIX CRISTALES 6 x 810 Gr.;ARCOR;GOLOSINAS;1011860;1011860;COLADOS DUROS ARCOR MIX CRISTALES 6 x 810 Gr.;arcor-catalog
7790580128531;COLADOS DUROS ARCOR STRONG 10 x 800 Gr.;ARCOR;GOLOSINAS;1012853;1012853;COLADOS DUROS ARCOR STRONG 10 x 800 Gr.;arcor-catalog
7790580118846;COLADOS LECHE ARCOR AGUILA 6 x 822 Gr.;ARCOR;GOLOSINAS;1011884;1011884;COLADOS LECHE ARCOR AGUILA 6 x 822 Gr.;arcor-catalog
7790580101978;COLADOS LECHE ARCOR BON O BON 36 x 150 Gr.;ARCOR;GOLOSINAS;1010197;1010197;COLADOS LECHE ARCOR BON O BON 36 x 150 Gr.;arcor-catalog
7790580118853;COLADOS LECHE ARCOR BON O BON 6 x 822 Gr.;ARCOR;GOLOSINAS;1011885;1011885;COLADOS LECHE ARCOR BON O BON 6 x 822 Gr.;arcor-catalog
7790580118587;COLADOS LECHE ARCOR CAFÉ 6 x 822 Gr.;ARCOR;GOLOSINAS;1011858;1011858;COLADOS LECHE ARCOR CAFÉ 6 x 822 Gr.;arcor-catalog
7790580151300;COLADOS LECHE ARCOR CHOCOLATE 36 x 150 Gr.;ARCOR;GOLOSINAS;1001513;1001513;COLADOS LECHE ARCOR CHOCOLATE 36 x 150 Gr.;arcor-catalog
7790580118785;COLADOS LECHE ARCOR CHOCOLATE 6 x 822 Gr.;ARCOR;GOLOSINAS;1011878;1011878;COLADOS LECHE ARCOR CHOCOLATE 6 x 822 Gr.;arcor-catalog
7790580118839;COLADOS LECHE ARCOR CHOCOLATE BLANCO 6 x 822 Gr.;ARCOR;GOLOSINAS;1011883;1011883;COLADOS LECHE ARCOR CHOCOLATE BLANCO 6 x 822 Gr.;arcor-catalog
7790580118860;COLADOS LECHE ARCOR CHOKKO MINT 6 x 822 Gr.;ARCOR;GOLOSINAS;1011886;1011886;COLADOS LECHE ARCOR CHOKKO MINT 6 x 822 Gr.;arcor-catalog
7790580127374;COLADOS LECHE ARCOR COCO 6 x 822 Gr.;ARCOR;GOLOSINAS;1012737;1012737;COLADOS LECHE ARCOR COCO 6 x 822 Gr.;arcor-catalog
7790580118877;COLADOS LECHE ARCOR DULCE DE LECHE 6 x 822 Gr.;ARCOR;GOLOSINAS;1011887;1011887;COLADOS LECHE ARCOR DULCE DE LECHE 6 x 822 Gr.;arcor-catalog
7790580151201;COLADOS LECHE ARCOR LECHE 36 x 150 Gr.;ARCOR;GOLOSINAS;1001512;1001512;COLADOS LECHE ARCOR LECHE 36 x 150 Gr.;arcor-catalog
7790580118570;COLADOS LECHE ARCOR LECHE 6 x 825 Gr.;ARCOR;GOLOSINAS;1011857;1011857;COLADOS LECHE ARCOR LECHE 6 x 825 Gr.;arcor-catalog
7790580426606;CONF ROCKLETS MINI 44u x10g;ARCOR;CHOCOLATES;4266;1004266;ROCKLETS MINI 12 X 44 X 10 Gr.;alta
7790580397203;CONOS CONO BON O BON 14 X 135 Cc.;ARCOR;HELADOS;1003972;1003972;CONOS CONO BON O BON 14 X 135 Cc.;arcor-catalog
7790580127121;CONOS CUCURUCHO ARCOR CHOCOLATE/AMERICANA 12 X 120 Cc.;ARCOR;HELADOS;1012712;1012712;CONOS CUCURUCHO ARCOR CHOCOLATE/AMERICANA 12 X 120 Cc.;arcor-catalog
7790580111472;CONOS CUCURUCHO ARCOR DDL/AMERICANA 12 X 120 Cc.;ARCOR;HELADOS;1011147;1011147;CONOS CUCURUCHO ARCOR DDL/AMERICANA 12 X 120 Cc.;arcor-catalog
7790580111489;CONOS CUCURUCHO ARCOR FRUTILLA/ AMERICANA 12 X 120 Cc.;ARCOR;HELADOS;1011148;1011148;CONOS CUCURUCHO ARCOR FRUTILLA/ AMERICANA 12 X 120 Cc.;arcor-catalog
7790580982508;CONOS CUCURUCHO COFLER AMERICANA/DDL 14 X 135 Cc.;ARCOR;HELADOS;1009825;1009825;CONOS CUCURUCHO COFLER AMERICANA/DDL 14 X 135 Cc.;arcor-catalog
;COOKIES AGUILA PREMEZCLA x300g;ARCOR;;13798;;;sin-match
;CREATINA NARANJA x162g;ARCOR;;13804;;;sin-match
;CREATINA NARANJA x325g.;ARCOR;;15290;;;sin-match
;CREATINA SIN SABOR x300g.;ARCOR;;14745;;;sin-match
7790580110208;CREMINO SURT.x940g;ARCOR;GOLOSINAS;1104;1001104;LECHE ARCOR CREMINO SURTIDO 6 x 940 Gr.;alta
;CUBANITOS AVELLANAS x16u.;ARCOR;;15262;;;sin-match
;CUBANITOS COFLER COCO x16u.;ARCOR;;15263;;;sin-match
;CUBANITOS DARK x16u.;ARCOR;;15259;;;sin-match
;CUBANITOS LECHE x16u.;ARCOR;;15258;;;sin-match
;DEDALITOS ARCOR x500g.;ARCOR;;14462;;;sin-match
;DELFINES DE VAINILLA x145G;ARCOR;;14253;;;sin-match
7790580501204;DULCE BATATA ARCOR CAJÓN 5 Kg.;ARCOR;ALIMENTOS;1005012;1005012;DULCE BATATA ARCOR CAJÓN 5 Kg.;arcor-catalog
7790580501105;DULCE BATATA ARCOR CON CHOCOLATE CAJÓN 5 Kg.;ARCOR;ALIMENTOS;1005011;1005011;DULCE BATATA ARCOR CON CHOCOLATE CAJÓN 5 Kg.;arcor-catalog
7790580504809;DULCE BATATA ARCOR CON CHOCOLATE ESTUCHE 12 X 500 Gr.;ARCOR;ALIMENTOS;1005048;1005048;DULCE BATATA ARCOR CON CHOCOLATE ESTUCHE 12 X 500 Gr.;arcor-catalog
7790580173708;DULCE BATATA ARCOR CON CHOCOLATE LATA 2 X 5 Kg.;ARCOR;ALIMENTOS;1006747;1006747;DULCE BATATA ARCOR CON CHOCOLATE LATA 2 X 5 Kg.;arcor-catalog
7790580504410;DULCE BATATA ARCOR ESTUCHE 12 X 500 Gr.;ARCOR;ALIMENTOS;1005044;1005044;DULCE BATATA ARCOR ESTUCHE 12 X 500 Gr.;arcor-catalog
7790580502300;DULCE BATATA ARCOR LATA 2 X 5 Kg.;ARCOR;ALIMENTOS;1006815;1006815;DULCE BATATA ARCOR LATA 2 X 5 Kg.;arcor-catalog
7790580505806;DULCE MEMBRILLO ARCOR CAJÓN 5 Kg.;ARCOR;ALIMENTOS;1005058;1005058;DULCE MEMBRILLO ARCOR CAJÓN 5 Kg.;arcor-catalog
7790580504601;DULCE MEMBRILLO ARCOR ESTUCHE 12 X 500 Gr.;ARCOR;ALIMENTOS;1005046;1005046;DULCE MEMBRILLO ARCOR ESTUCHE 12 X 500 Gr.;arcor-catalog
7790580470906;DUROS ARCOR GAJITOS 12 x 485 Gr.;ARCOR;GOLOSINAS;1010885;1010885;DUROS ARCOR GAJITOS 12 x 485 Gr.;arcor-catalog
7790580470807;DUROS ARCOR GAJITOS 36 x 150 Gr.;ARCOR;GOLOSINAS;1010886;1010886;DUROS ARCOR GAJITOS 36 x 150 Gr.;arcor-catalog
7790580214104;DUROS ARCOR RODAJAS 6 x 930 Gr.;ARCOR;GOLOSINAS;1002141;1002141;DUROS ARCOR RODAJAS 6 x 930 Gr.;arcor-catalog
7790580296506;DUROS ARCOR RODAJAS CRAZY 12 x 465 Gr.;ARCOR;GOLOSINAS;1002965;1002965;DUROS ARCOR RODAJAS CRAZY 12 x 465 Gr.;arcor-catalog
;ESTRELLAS FRUTALES x145G;ARCOR;;14250;;;sin-match
;ESTRELLAS FRUTALES x245g;ARCOR;;14251;;;sin-match
