barcode;name;brand;category
7790580118969;BARRITAS BAÑADAS BARRITA AGUILA 40 X 49 Cc.;ARCOR;HELADOS
7790580504410;BATATA ESTUCHE x 500Gr.;ARCOR;ALIMENTOS
7790580173708;BATATA LATA C/CHOC.x5Kg.;ARCOR;ALIMENTOS
7790580502300;BATATA LATA x5 Kg.;ARCOR;ALIMENTOS
7790580504809;BATATA VAIN.C/CHOCOL.x500g.;ARCOR;ALIMENTOS
7790580501204;BATATA VAIN.CAJON x 5Kg.;ARCOR;ALIMENTOS
7790580501105;BATATA c/CH.CAJON x 5Kg.;ARCOR;ALIMENTOS
7790580127725;BAÑOS DE REPOSTERÍA COLOR CELESTE SABOR VAINILLA 8 X 6 X 150 Gr.;ARCOR;CHOCOLATES
7790580125547;BAÑOS DE REPOSTERÍA COLOR ROSA SABOR FRUTILLA 8 X 6 X 150 Gr.;ARCOR;CHOCOLATES
7790580626600;BIZCOCHUELOS GODET CHOCOLATE 12 X 480 Gr.;ARCOR;ALIMENTOS
7790580236519;BIZCOCHUELOS GODET MARMOLADO 12 X 500 Gr.;ARCOR;ALIMENTOS
7790580626419;BIZCOCHUELOS GODET VAINILLA 12 X 480 Gr.;ARCOR;ALIMENTOS
7790580219000;BOC. CABSHA ACRILICOx18u.;ARCOR;CHOCOLATES
7790580104207;BOCADITO HOLANDA x50u.;ARCOR;GOLOSINAS
7790580107987;BOCADITOS AGUILA BOCADITO MENTA 24 X 15 X 14 Gr.;ARCOR;CHOCOLATES
7790580106935;BOMBON DE FRUTA X 500gr;ARCOR;GOLOSINAS
7790580722708;BOMBON TOFI LECHE 32x15Gr;ARCOR;CHOCOLATES
7790580105242;BOMBONES COFLER BLOCK 15 X 20 X 18 Gr.;ARCOR;CHOCOLATES
7790580111243;BOMBONES Y BOCADITOS BON O BON CITOS 12 X 180 Cc.;ARCOR;HELADOS
7790580108366;BOMBONES Y BOCADITOS COFLER CITOS AMERICANA 12 X 200 Cc.;ARCOR;HELADOS
7790580109479;BOMBONES Y BOCADITOS COFLER CITOS DULCE DE LECHE 12 X 200 Cc.;ARCOR;HELADOS
7790580102517;BON O BON AGUILA 16 X 18 X 15 Gr.;ARCOR;CHOCOLATES
7790580119065;BON O BON BCO x 18u;ARCOR;CHOCOLATES
7790580119058;BON O BON BLANCO 12 X 30 X 15 Gr.;ARCOR;CHOCOLATES
7790580117771;BON O BON CHOCOLINAS 16 X 18 X 15 Gr.;ARCOR;CHOCOLATES
7790580119157;BON O BON LECH x 18u;ARCOR;CHOCOLATES
7790580119133;BON O BON LECHE 12 X 30 X 15 Gr.;ARCOR;CHOCOLATES
7790580119164;BON O BON LECHE 24 X 7 X 15 Gr.;ARCOR;CHOCOLATES
7790580119126;BON O BON SURTIDO 24 X 272 Gr.;ARCOR;CHOCOLATES
7790580118853;BUTTER BON O BON x822g;ARCOR;GOLOSINAS
7790580118426;BUTTER CREAM x 810gr;ARCOR;GOLOSINAS
7790580118860;BUTTER MINT. X822G;ARCOR;GOLOSINAS
7790580118839;BUTTER TOFF CHOC BLANCO x 822gr;ARCOR;GOLOSINAS
7790580118785;BUTTER TOFF CHOCOLATE X 822gr;ARCOR;GOLOSINAS
7790580118587;BUTTER TOFFEES CAFE x820g;ARCOR;GOLOSINAS
7790580118877;BUTTER TOFFEES D LECHE x 822g;ARCOR;GOLOSINAS
7790580118570;BUTTER TOFFEES LECHE x825g;ARCOR;GOLOSINAS
7790580118846;BUTTER TOFFES AGUILAx822g.;ARCOR;GOLOSINAS
7790580402907;CACAO EN POLVO ARCOR ARCOA 20 X 360 Gr.;ARCOR;ALIMENTOS
